,Criteria_Name,Type,Enrollment,Is feasible to apply in Flatiron?,IE Rules in EDM
0,Histology_NonSquamous,Inclusion,Subjects with histologically or cytologically-documented locally advanced non- squamous cell NSCLC who present with Stage IIIB/Stage IV or recurrent disease following radiation therapy or surgical resection.,Yes,"Histology_NonSquamous
#inclusion
(enhanced_advancednsclc['histology'] == 'Non-squamous cell carcinoma')"
1,Age,Inclusion,Men and women ≥ 18 years of age,Yes,"Age
#inclusion
(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

(lineoftherapy['startdate'] >= demographics['birthyear'] + @YEARS(18))"
2,Staging,Inclusion,"Subjects with histologically- or cytologically-documented squamous cell NSCLC who present with Stage IIIB/ Stage IV disease (according to version 7 of the International Association for the Study of Lung Cancer Staging Manual in Thoracic Oncology), or recurrent disease following radiation therapy or surgical resection.",Yes,"Staging
#Inclusion
(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

enhanced_advancednsclc[‘advanceddiagnosisdate’] - 14 < lineoftherapy['startdate']"
3,ECOG,Inclusion,Eastern Cooperative Oncology Arm (ECOG) performance status of ≤ 1,Yes,"ECOG
#Inclusion
(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

(ecog[‘ecogdate’] >= lineoftherapy['startdate'] - @DAYS(30) ) AND (ecog[‘ecogdate’] <= lineoftherapy['startdate'] + @DAYS(7) )

MIN(ABS(ecog[‘ecogdate’] - enhanced_advancednsclc[‘advanceddiagnosisdate’] ))

(ecog['ecogvalue'] == 0) OR (ecog['ecogvalue'] == 1)"
4,FirstProgression,Inclusion,Subjects must have experienced disease recurrence or progression during or after one prior platinum-containing doublet chemotherapy regimen for advanced or metastatic disease.,Yes,"FirstProgression
#inclusion
(lineoftherapy['linenumber'] == 1) AND (lineoftherapy['ismaintenancetherapy'] == False)

(lineoftherapy['linename'] == 'Carboplatin,Paclitaxel') OR (lineoftherapy['linename'] == 'Carboplatin,Pemetrexed')

enhanced_advnsclcprogression['progressiondate'] >= lineoftherapy['startdate']"
5,maintenance_v2,Inclusion,"Subjects who received pemetrexed, bevacizumab, or erlotinib as maintenance therapy (non-progressors with platinum-based doublet chemotherapy) and progressed are eligible. However EGFR wild-type patients who received a tyrosine kinase inhibitor after failure of a prior platinum-based therapy are excluded.
",Partially,"maintenance_v2
#inclusion
(lineoftherapy['linenumber'] == 1) AND (lineoftherapy['ismaintenancetherapy'] == True)

(medicationorder['drugname'] == 'Pemetrexed') OR (medicationorder['drugname']== 'Bevacizumab') OR (medicationorder['drugname'] == 'Erlotinib')

enhanced_advnsclcprogression['progressiondate'] >= lineoftherapy['startdate']"
6,ALK_drug,Inclusion,Subject who have a known ALK translocation and received a platinum-based chemotherapy doublet and an ALK inhibitor (crizotinib or experimental),Partially,"ALK_drug
#exclusion

(lineoftherapy['linenumber']==1) AND (lineoftherapy['ismaintenancetherapy']==False)

(enhanced_advnsclcbiomarkers['biomarkername'] == 'ALK') AND (enhanced_advnsclcbiomarkers['biomarkerstatus']=='Rearrangement present')

(enhanced_advnsclcbiomarkers['specimencollecteddate'] < lineoftherapy['startdate']) 

(medicationorder['drugname'] != 'Crizotinib')"
7,EGFR_drug,Inclusion,"Subject who have a known EGFR mutation and received a EGFR TKI (erlotinib, gefitinib or experimental) and a platinum-based chemotherapy doublet (despite the order of administration).",Yes,"EGFR_drug
#exclusion
(lineoftherapy['linenumber']==1) AND (lineoftherapy['ismaintenancetherapy']==False)

(enhanced_advnsclcbiomarkers['biomarkername'] == 'EGFR') AND (enhanced_advnsclcbiomarkers['biomarkerstatus']=='Mutation positive')

(enhanced_advnsclcbiomarkers['specimencollecteddate'] < lineoftherapy['startdate']) 

(medicationorder['drugname'] != 'Erlotinib') AND (medicationorder['drugname'] != 'Gefitinib')"
8,WBC,Inclusion,WBCs ≥ 2000/μL,Yes,"WBC
#inclusion

(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

lab['labcomponent'] == 'White Blood Cell Count'

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] - lineoftherapy['startdate']))

(lab['testresultcleaned'] >= 2)"
9,Neutrophils,Inclusion,Neutrophils ≥ 1500/μL,Yes,"Neutrophils
#inclusion

(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

(lab['labcomponent'] == 'Neutrophil count (absolute)') OR (lab['labcomponent'] == 'Granulocytes #') 

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] - lineoftherapy['startdate']))

(lab['testresultcleaned'] >= 1.5)"
10,Platelets,Inclusion,Platelets ≥ 100 x 103/μL,Yes,"Platelets
#inclusion

(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

lab['labcomponent'] == 'Platelet count' 

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] - lineoftherapy['startdate']))

lab['testresultcleaned'] >= 100"
11,Hemoglobin,Inclusion,Hemoglobin ≥ 9.0 g/dL,Yes,"Hemoglobin
#inclusion

(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

lab['labcomponent'] == 'Hemoglobin, whole blood'

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] -lineoftherapy['startdate']))

lab['testresultcleaned'] >= 9"
12,AST_v2,Inclusion,AST ≤ 1.5X ULN,Yes,"AST_v2
#inclusion

(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

lab['labcomponent'] == 'Aspartate aminotransferase (AST or SGOT)' 

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] -lineoftherapy['startdate']))

lab['testresultcleaned'] <= 1.5 * lab['maxnormcleaned']"
13,ALT_v2,Inclusion,ALT≤1.5XULN,Yes,"ALT_v2
#inclusion

(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

lab['labcomponent'] == 'Alanine aminotransferase (ALT or SGPT)' 

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] -lineoftherapy['startdate']))

lab['testresultcleaned'] <= 1.5 * lab['maxnormcleaned']"
14,Bilirubin_v2,Inclusion,Total bilirubin ≤ ULN (except subjects with Gilbert Syndrome who must have total bilirubin <3.0 mg/dL),Partially,"Bilirubin_v2
#inclusion

(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

lab['labcomponent'] == 'Bilirubin (Total), serum' 

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] -lineoftherapy['startdate']))

lab['testresultcleaned'] <= lab['maxnormcleaned']"
