,Criteria_Name,Type,Enrollment,Is feasible to apply in Flatiron?,IE Rules in EDM
0,Age,Inclusion,Aged ≥ 18 years,Yes,"Age
#inclusion
(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

(lineoftherapy['startdate'] >= demographics['birthyear'] + @YEARS(18))"
1,Histology_Any,Inclusion,"Histologically or cytologically documented NSCLC that is currently locally advanced or metastatic (i.e., Stage IIIB not eligible for definitive chemoradiotherapy, Stage IV, or recurrent) NSCLC (per the UICC/AJCC staging system, 7th edition;
Detterbeck et al. 2009); pathological characterization may be from tumor specimens collected at a time when the NSCLC was at an earlier stage but must be sufficient to define patients as having either squamous or non-squamous histology.",Yes,"Histology_Any
#inclusion
(enhanced_advancednsclc['histology'] == 'Squamous cell carcinoma') OR (enhanced_advancednsclc['histology'] == 'Non-squamous cell carcinoma')"
2,Staging,Inclusion,"Histologically or cytologically documented NSCLC that is currently locally advanced or metastatic (i.e., Stage IIIB not eligible for definitive chemoradiotherapy, Stage IV, or recurrent) NSCLC (per the UICC/AJCC staging system, 7th edition;
Detterbeck et al. 2009); pathological characterization may be from tumor specimens collected at a time when the NSCLC was at an earlier stage but must be sufficient to define patients as having either squamous or non-squamous histology.",Yes,"Staging
#Inclusion
(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

enhanced_advancednsclc[‘advanceddiagnosisdate’] -14 < lineoftherapy['startdate']"
3,EGFR_drug,Inclusion,"Patients with advanced lung cancer and a sensitizing EGFR mutation will additionally be required to have experienced disease progression (during or after treatment) with an EGFR TKI (erlotinib, gefitinib, etc.). Patients with unknown EGFR mutational status not previously treated with an EGFR TKI but whose tumor may harbor a sensitizing EGFR mutation (i.e., non-squamous histology, KRAS status wild-type or unknown, ALK fusion oncogene negative or unknown) will be tested by a central laboratory prior to enrollment",Yes,"EGFR_drug
#exclusion
(lineoftherapy['linenumber']==1) AND (lineoftherapy['ismaintenancetherapy']==False)

(enhanced_advnsclcbiomarkers['biomarkername'] == 'EGFR') AND (enhanced_advnsclcbiomarkers['biomarkerstatus']=='Mutation positive')

(enhanced_advnsclcbiomarkers['specimencollecteddate'] < lineoftherapy['startdate']) 

(medicationorder['drugname'] != 'Erlotinib') AND (medicationorder['drugname'] != 'Gefitinib')"
4,ALK_drug,Inclusion,Patients with a previously detected ALK fusion oncogene must additionally have experienced disease progression (during or after treatment) with crizotinib or another ALK inhibitor.,Yes,"ALK_drug
#exclusion

(lineoftherapy['linenumber']==1) AND (lineoftherapy['ismaintenancetherapy']==False)

(enhanced_advnsclcbiomarkers['biomarkername'] == 'ALK') AND (enhanced_advnsclcbiomarkers['biomarkerstatus']=='Rearrangement present')

(enhanced_advnsclcbiomarkers['specimencollecteddate'] < lineoftherapy['startdate']) 

(medicationorder['drugname'] != 'Crizotinib')"
5,ECOG,Inclusion,ECOG performance status of 0 or 1,Yes,"ECOG
#Inclusion
(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

(ecog[‘ecogdate’] >= lineoftherapy['startdate'] - @DAYS(30) ) AND (ecog[‘ecogdate’] <= lineoftherapy['startdate'] + @DAYS(7) )

MIN(ABS(ecog[‘ecogdate’] - enhanced_advancednsclc[‘advanceddiagnosisdate’] ))

(ecog['ecogvalue'] == 0) OR (ecog['ecogvalue'] == 1)"
6,WBC_v2,Inclusion,WBC counts > 2500/μL,Yes,"WBC_v2
#inclusion

(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

lab['labcomponent'] == 'White Blood Cell Count'

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] - lineoftherapy['startdate']))

(lab['testresultcleaned'] >= 2.5)"
7,Lymphocyte,Inclusion,Lymphocyte count ≥ 500/μL,Yes,"Lymphocyte
#inclusion

(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

lab['labcomponent'] == 'Lymphocyte Count Absolute'

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] - lineoftherapy['startdate']))

(lab['testresultcleaned'] >= 0.5)"
8,Albumin,Inclusion,Serum albumin ≥ 2.5 g/dL,Yes,"Albumin
#inclusion

(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

lab['labcomponent'] == 'Albumin, serum'

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] - lineoftherapy['startdate']))

(lab['testresultcleaned'] >= 2.5)"
9,Platelets,Inclusion,"Platelet count ≥ 100,000/μL (without transfusion within 2 weeks of laboratory test used to determine eligibility)",Yes,"Platelets
#inclusion

(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

lab['labcomponent'] == 'Platelet count' 

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] - lineoftherapy['startdate']))

lab['testresultcleaned'] >= 100"
