,Criteria_Name,Type,Enrollment,Is feasible to apply in Flatiron?,IE Rules in EDM
0,Age,Inclusion,Be ≥18 years of age on day of signing informed consent.,Yes,"Age
#inclusion
(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

(lineoftherapy['startdate'] >= demographics['birthyear'] + @YEARS(18))"
1,ECOG,Inclusion,Have a performance status of 0 or 1 on the ECOG Performance Scale.,Yes,"ECOG
#Inclusion
(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

(ecog[‘ecogdate’] >= lineoftherapy['startdate'] - @DAYS(30) ) AND (ecog[‘ecogdate’] <= lineoftherapy['startdate'] + @DAYS(7) )

MIN(ABS(ecog[‘ecogdate’] - enhanced_advancednsclc[‘advanceddiagnosisdate’] ))

(ecog['ecogvalue'] == 0) OR (ecog['ecogvalue'] == 1)"
2,Neutrophils,Inclusion,"Absolute neutrophil count (ANC) ≥1,500 /mcL",Yes,"Neutrophils
#inclusion

(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

(lab['labcomponent'] == 'Neutrophil count (absolute)') OR (lab['labcomponent'] == 'Granulocytes #') 

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] - lineoftherapy['startdate']))

(lab['testresultcleaned'] >= 1.5)"
3,Platelets,Inclusion,"Platelets
 
 ≥100,000 / mcL",Yes,"Platelets
#inclusion

(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

lab['labcomponent'] == 'Platelet count' 

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] - lineoftherapy['startdate']))

lab['testresultcleaned'] >= 100"
4,Hemoglobin,Inclusion,"Hemoglobin
 ≥9 g/dL or ≥5.6 mmol/L– without transfusions for 4 weeks",Yes,"Hemoglobin
#inclusion

(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

lab['labcomponent'] == 'Hemoglobin, whole blood'

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] -lineoftherapy['startdate']))

lab['testresultcleaned'] >= 9"
5,Bilirubin_v2,Inclusion,"Total bilirubin
 
≤ ULN",Yes,"Bilirubin_v2
#inclusion

(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

lab['labcomponent'] == 'Bilirubin (Total), serum' 

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] -lineoftherapy['startdate']))

lab['testresultcleaned'] <= lab['maxnormcleaned']"
6,AST_v2,Inclusion,AST (SGOT) ≤ 1.5 X ULN,Yes,"AST_v2
#inclusion

(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

lab['labcomponent'] == 'Aspartate aminotransferase (AST or SGOT)' 

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] -lineoftherapy['startdate']))

lab['testresultcleaned'] <= 1.5 * lab['maxnormcleaned']"
7,ALT_v2,Inclusion,ALT (SGPT) ≤ 1.5 X ULN,Yes,"ALT_v2
#inclusion

(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

lab['labcomponent'] == 'Alanine aminotransferase (ALT or SGPT)' 

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] -lineoftherapy['startdate']))

lab['testresultcleaned'] <= 1.5 * lab['maxnormcleaned']"
8,Alkaline,Inclusion,Alkaline Phosphatase ≤ 2.5 X ULN,Yes,"Alkaline
#inclusion

(lineoftherapy['linenumber']==2) AND (lineoftherapy['ismaintenancetherapy']==False)

(lab['labcomponent'] == 'Alkaline phosphatase (ALP)')

(lab[‘testdate’] >= lineoftherapy['startdate'] - @DAYS(28) ) AND (lab[‘testdate’] <= lineoftherapy['startdate'])

MIN(ABS(lab[‘testdate’] -lineoftherapy['startdate']))

(lab['testresultcleaned'] <= 2.5 * lab['maxnormcleaned'])"
9,PDL1-exclude-Docetaxel,Exclusion,Has received prior therapy with docetaxel for NSCLC.,Yes,"PDL1-exclude-Docetaxel
#exclusion

(lineoftherapy['linenumber'] == 1)

(lineoftherapy['linename'] == 'Docetaxel')"
